manuscript_type,novel_biologging,other_data,biologging_fair,other_fair,authors,title,source,year,volume,issue,doi,pub_type,id
,,,,,"Pereniguez, JM; Venerus, LA; Gutierrez-Canovas, C; Abecasis, D; Ciancio, JE; Jimenez-Montalban, P; Garcia-Charton, JA",Acoustic telemetry and accelerometers: a field comparison of different proxies for activity in the marine environment,ICES JOURNAL OF MARINE SCIENCE,2022,79,10,10.1093/icesjms/fsac190,J,pereniguez2022
,,,,,"Knight, CW; Bailey, DW; Faulkner, D",Low-Cost Global Positioning System Tracking Collars for Use on Cattle,RANGELAND ECOLOGY & MANAGEMENT,2018,71,4,10.1016/j.rama.2018.04.003,J,knight2018
,,,,,"Schloesing, E; Chambon, R; Tran, A; Choden, K; Ravon, S; Epstein, JH; Hoem, T; Furey, N; Labadie, M; Bourgarel, M; De Nys, HM; Caron, A; Cappelle, J",Patterns of foraging activity and fidelity in a southeast Asian flying fox,MOVEMENT ECOLOGY,2020,8,1,10.1186/s40462-020-00232-8,J,schloesing2020
,,,,,"Bidder, OR; Qasem, LA; Wilson, RP",On Higher Ground: How Well Can Dynamic Body Acceleration Determine Speed in Variable Terrain?,PLOS ONE,2012,7,11,10.1371/journal.pone.0050556,J,bidder2012a
,,,,,"Amos, M; De Ridder, TR; Pople, A; Brennan, M; Hampton, JO",Further refinement of helicopter capture for Australian chital deer (Axis axis),AUSTRALIAN MAMMALOGY,2023,NA,NA,10.1071/AM23015,J,amos2023
,,,,,"Pierce, BM; Bleich, VC",Enumerating mountain lions: a comparison of two indices,CALIFORNIA FISH AND GAME,2014,100,3,NA,J,pierce2014
,,,,,"De Angelis, D; Huber, D; Reljic, S; Ciucci, P; Kusak, J",Factors affecting the home range of Dinaric-Pindos brown bears,JOURNAL OF MAMMALOGY,2021,102,2,10.1093/jmammal/gyab018,J,deangelis2021
,,,,,"Rees, AF; Margaritoulis, D; Newman, R; Riggall, TE; Tsaros, P; Zbinden, JA; Godley, BJ","Ecology of loggerhead marine turtles Caretta caretta in a neritic foraging habitat: movements, sex ratios and growth rates",MARINE BIOLOGY,2013,160,3,10.1007/s00227-012-2107-2,J,rees2013
,,,,,"Rayner, MJ; Gaskin, CP; Fitzgerald, NB; Baird, KA; Berg, MM; Boyle, D; Joyce, L; Landers, TJ; Loh, GG; Maturin, S; Perrimen, L; Scofield, RP; Simm, J; Southey, I; Taylor, GA; Tennyson, AJD; Robertson, BC; Young, M; Walle, R; Ismar, SMH",Using miniaturized radiotelemetry to discover the breeding grounds of the endangered New Zealand Storm Petrel Fregetta maoriana,IBIS,2015,157,4,10.1111/ibi.12287,J,rayner2015
,,,,,"Portelinha, TCG; Verdade, LM; Pina, CI",Detectability of Caiman latirostris (Crocodylia: Alligatoridae) in night count surveys,SOUTH AMERICAN JOURNAL OF HERPETOLOGY,2022,23,1,10.2994/SAJH-D-19-00092.1,J,portelinha2022
,,,,,"Gunner, RM; Wilson, RP; Holton, MD; Hopkins, P; Bell, SH; Marks, NJ; Bennett, NC; Ferreira, S; Govender, D; Viljoen, P; Bruns, A; van Schalkwyk, OL; Bertelsen, MF; Duarte, CM; van Rooyen, MC; Tambling, CJ; Goppert, A; Diesel, D; Scantlebury, DM",Decision rules for determining terrestrial movement and the consequences for filtering high-resolution global positioning system tracks: a case study using the African lion (Panthera leo),JOURNAL OF THE ROYAL SOCIETY INTERFACE,2022,19,186,10.1098/rsif.2021.0692,J,gunner2022
,,,,,"Slone, DH; Butler, SM; Reid, JP; Kleen, J; Palmer, J",How do ambient conditions and management actions affect manatee movements and habitat use?,JOURNAL OF WILDLIFE MANAGEMENT,2023,87,5,10.1002/jwmg.22411,J,slone2023
,,,,,"Tomkins, NW; O'Reagain, PJ; Swain, D; Bishop-Hurley, G; Charmley, E",Determining the effect of stocking rate on the spatial distribution of cattle for the subtropical savannas,RANGELAND JOURNAL,2009,31,3,10.1071/RJ07070,J,tomkins2009
,,,,,"Moxley, JH; Bogomolni, A; Hammill, MO; Moore, KMT; Polito, MJ; Sette, L; Sharp, WB; Waring, GT; Gilbert, JR; Halpin, PN; Johnston, DW",Google Haul Out: Earth Observation Imagery and Digital Aerial Surveys in Coastal Wildlife Management and Abundance Estimation,BIOSCIENCE,2017,67,8,10.1093/biosci/bix059,J,moxley2017
,,,,,"le Roex, N; Dreyer, C; Viljoen, P; Hofmeyr, M; Ferreira, SM",Seasonal space-use and resource limitation in free-ranging black rhino,MAMMALIAN BIOLOGY,2019,99,NA,10.1016/j.mambio.2019.11.001,J,leroex2019
,,,,,"Barwick, J; Lamb, DW; Dobos, R; Welch, M; Schneider, D; Trotter, M",Identifying Sheep Activity from Tri-Axial Acceleration Signals Using a Moving Window Classification Model,REMOTE SENSING,2020,12,4,10.3390/rs12040646,J,barwick2020
,,,,,"Browning, E; Bolton, M; Owen, E; Shoji, A; Guilford, T; Freeman, R",Predicting animal behaviour using deep learning: GPS data alone accurately predict diving in seabirds,METHODS IN ECOLOGY AND EVOLUTION,2018,9,3,10.1111/2041-210X.12926,J,browning2018
,,,,,"Delord, K; Barbraud, C; Pinaud, D; Letournel, B; Jaugeon, B; Goraguer, H; Lazure, P; Lormee, H","Movements of three alcid species breeding sympatrically in Saint Pierre and Miquelon, northwestern Atlantic Ocean",JOURNAL OF ORNITHOLOGY,2020,161,2,10.1007/s10336-019-01725-z,J,delord2020
,,,,,"Wilson, RP; Holton, MD; di Virgilio, A; Williams, H; Shepard, ELC; Lambertucci, S; Quintana, F; Sala, JE; Balaji, B; Lee, ES; Srivastava, M; Scantlebury, DM; Duarte, CM",Give the machine a hand: A Boolean time-based decision-tree template for rapidly finding animal behaviours in multisensor data,METHODS IN ECOLOGY AND EVOLUTION,2018,9,11,10.1111/2041-210X.13069,J,wilson2018
,,,,,"Hanscom, RJ; DeSantis, DL; Hill, JL; Marbach, T; Sukumaran, J; Tipton, AF; Thompson, ML; Higham, TE; Clark, RW",How to study a predator that only eats a few meals a year: high-frequency accelerometry to quantify feeding behaviours of rattlesnakes (Crotalus spp.),ANIMAL BIOTELEMETRY,2023,11,1,10.1186/s40317-023-00332-3,J,hanscom2023
,,,,,"Kays, R; Crofoot, MC; Jetz, W; Wikelski, M",Terrestrial animal tracking as an eye on life and planet,SCIENCE,2015,348,6240,10.1126/science.aaa2478,J,kays2015
,,,,,"Kelly, BP; Badajos, OH; Kunnasranta, M; Moran, JR; Martinez-Bakker, M; Wartzok, D; Boveng, P",Seasonal home ranges and fidelity to breeding sites among ringed seals,POLAR BIOLOGY,2010,33,8,10.1007/s00300-010-0796-x,J,kelly2010
,,,,,"Kuhn, CE; Sterling, JT; McCormley, M; Birkemeier, B; Sar, A; Flock, A; Mordy, CW",Animal-borne video cameras reveal differences in northern fur seal foraging behavior related to prey size selection,FRONTIERS IN MARINE SCIENCE,2022,9,NA,10.3389/fmars.2022.1015594,J,kuhn2022
,,,,,"Pettigrew, P; Sigouin, D; St-Laurent, MH",Testing the precision and sensitivity of density estimates obtained with a camera-trap method revealed limitations and opportunities,ECOLOGY AND EVOLUTION,2021,11,12,10.1002/ece3.7619,J,pettigrew2021
,,,,,"Rushen, J; de Passille, AM","Automated measurement of acceleration can detect effects of age, dehorning and weaning on locomotor play of calves",APPLIED ANIMAL BEHAVIOUR SCIENCE,2012,139,3-4,10.1016/j.applanim.2012.04.011,J,rushen2012a
,,,,,"Merkle, JA; Sigaud, M; Fortin, D",To follow or not? How animals in fusion-fission societies handle conflicting information during group decision-making,ECOLOGY LETTERS,2015,18,8,10.1111/ele.12457,J,merkle2015
,,,,,"Cozzi, G; Behr, DM; Webster, HS; Claase, M; Bryce, CM; Modise, B; Mcnutt, JW; Ozgul, A",African Wild Dog Dispersal and Implications for Management,JOURNAL OF WILDLIFE MANAGEMENT,2020,84,4,10.1002/jwmg.21841,J,cozzi2020
,,,,,"Hart, KM; Zawada, DG; Sartain, AR; Fujisaki, I","Breeding loggerhead marine turtles Caretta caretta in Dry Tortugas National Park, USA, showhigh fidelity to diverse habitats near nesting beaches",ORYX,2016,50,2,10.1017/S0030605314000854,J,hart2016a
,,,,,"Hagihara, R; Jones, RE; Sobtzick, S; Cleguer, C; Garrigue, C; Marsh, H",Compensating for geographic variation in detection probability with water depth improves abundance estimates of coastal marine megafauna,PLOS ONE,2018,13,1,10.1371/journal.pone.0191476,J,hagihara2018
,,,,,"Rogers, TL; Hogg, CJ; Irvine, A","Spatial movement of adult leopard seals (Hydrurga leptonyx) in Prydz Bay, Eastern Antarctica",POLAR BIOLOGY,2005,28,6,10.1007/s00300-004-0703-4,J,rogers2005
,,,,,"Garcia-Jimenez, R; Martinez-Gonzalez, JM; Oliva-Vidal, P; Pique, J; Sese, JA; Margalida, A",Nocturnal flights by Bearded VulturesGypaetus barbatusdetected for the first-time using GPS and accelerometer data,BIRD STUDY,2020,67,1,10.1080/00063657.2020.1781054,J,garciajimenez2020a
,,,,,"Ledoux, D; Veissier, I; Meunier, B; Gelin, V; Richard, C; Kiefer, H; Jammes, H; Foucras, G; des Roches, AD",Combining accelerometers and direct visual observations to detect sickness and pain in cows of different ages submitted to systemic inflammation,SCIENTIFIC REPORTS,2023,13,1,10.1038/s41598-023-27884-x,J,ledoux2023
,,,,,"Potts, JR; Borger, L; Scantlebury, DM; Bennett, NC; Alagaili, A; Wilson, RP",Finding turning-points in ultra-high-resolution animal movement data,METHODS IN ECOLOGY AND EVOLUTION,2018,9,10,10.1111/2041-210X.13056,J,potts2018
,,,,,"Brennan, J; Johnson, P; Olson, K",Technical Note: Method to Streamline Processing of Livestock Global Positioning System Collar Data,RANGELAND ECOLOGY & MANAGEMENT,2019,72,4,10.1016/j.rama.2019.03.003,J,brennan2019
,,,,,"Kaczensky, P; Adiya, Y; von Wehrden, H; Mijiddorj, B; Walzer, C; Guthlin, D; Enkhbileg, D; Reading, RP",Space and habitat use by wild Bactrian camels in the Transaltai Gobi of southern Mongolia,BIOLOGICAL CONSERVATION,2014,169,NA,10.1016/j.biocon.2013.11.033,J,kaczensky2014
,,,,,"Rutz, C; Hays, GC",New frontiers in biologging science,BIOLOGY LETTERS,2009,5,3,10.1098/rsbl.2009.0089,J,rutz2009
,,,,,"Orgeret, F; Reisinger, RR; Carpenter-Kling, T; Keys, DZ; Corbeau, A; Bost, CA; Weimerskirch, H; Pistorius, PA",Spatial segregation in a sexually dimorphic central place forager: Competitive exclusion or niche divergence?,JOURNAL OF ANIMAL ECOLOGY,2021,90,10,10.1111/1365-2656.13552,J,orgeret2021
,,,,,"Ely, CR; Meixell, BW",Demographic outcomes of diverse migration strategies assessed in a metapopulation of tundra swans,MOVEMENT ECOLOGY,2016,4,NA,10.1186/s40462-016-0075-8,J,ely2016
,,,,,"Richards, C; Padget, O; Guilford, T; Bates, AE",Manx shearwater (Puffinus puffinus) rafting behaviour revealed by GPS tracking and behavioural observations,PEERJ,2019,7,NA,10.7717/peerj.7863,J,richards2019
,,,,,"Yurkowski, DJ; Semeniuk, CAD; Harwood, LA; Rosing-Asvid, A; Dietz, R; Brown, TM; Clackett, S; Grgicak-Mannion, A; Fisk, AT; Ferguson, SH",Influence of sea ice phenology on the movement ecology of ringed seals across their latitudinal range,MARINE ECOLOGY PROGRESS SERIES,2016,562,NA,10.3354/meps11950,J,yurkowski2016
,,,,,"Northrup, JM; Avrin, A; Anderson, CR; Brown, E; Wittemyer, G",On-animal acoustic monitoring provides insight to ungulate foraging behavior,JOURNAL OF MAMMALOGY,2019,100,5,10.1093/jmammal/gyz124,J,northrup2019
,,,,,"Masello, JF; Kato, A; Sommerfeld, J; Mattern, T; Quillfeldt, P",How animals distribute themselves in space: variable energy landscapes,FRONTIERS IN ZOOLOGY,2017,14,NA,10.1186/s12983-017-0219-8,J,masello2017
,,,,,"Hussain, Z; Ghaskadbi, P; Panchbhai, P; Govekar, R; Nigam, P; Habib, B",Long-distance dispersal by a male sub-adult tiger in a human-dominated landscape,ECOLOGY AND EVOLUTION,2022,12,9,10.1002/ece3.9307,J,hussain2022
,,,,,"Lesmerises, R; Ouellet, JP; Dussault, C; St-Laurent, MH",The influence of landscape matrix on isolated patch use by wide-ranging animals: conservation lessons for woodland caribou,ECOLOGY AND EVOLUTION,2013,3,9,10.1002/ece3.695,J,lesmerises2013
,,,,,"Cumming, GS; Henry, DAW; Reynolds, C",Translocation experiment gives new insights into the navigation capacity of an African duck,DIVERSITY AND DISTRIBUTIONS,2022,28,5,10.1111/ddi.13510,J,cumming2022
,,,,,"Todorov, VR; Zlatanova, DP; Valchinkova, KV",Brown Bear Behavioural Response to Capture: Lessons Learned from a Small Sample,ACTA ZOOLOGICA BULGARICA,2021,73,3,NA,J,todorov2021
,,,,,"Willener, AST; Handrich, Y; Halsey, LG; Strike, S",Effect of walking speed on the gait of king penguins: An accelerometric approach,JOURNAL OF THEORETICAL BIOLOGY,2015,387,NA,10.1016/j.jtbi.2015.09.019,J,willener2015a
,,,,,"Hyrenbach, KD; Hester, MM; Adams, J; Titmus, AJ; Michael, P; Wahl, T; Chang, CW; Marie, A; Vanderlip, C","PLASTIC INGESTION BY BLACK-FOOTED ALBATROSS PHOEBASTRIA NIGRIPES FROM KURE ATOLL, HAWAI'I: LINKING CHICK DIET REMAINS AND PARENTAL AT-SEA FORAGING DISTRIBUTIONS",MARINE ORNITHOLOGY,2017,45,2,NA,J,hyrenbach2017
,,,,,"Cartamil, DP; Sepulveda, CA; Wegner, NC; Aalbers, SA; Baquero, A; Graham, JB",Archival tagging of subadult and adult common thresher sharks (Alopias vulpinus) off the coast of southern California,MARINE BIOLOGY,2011,158,4,10.1007/s00227-010-1620-4,J,cartamil2011
,,,,,"Bijleveld, AI; van Maarseveen, F; Denissen, B; Dekinga, A; Penning, E; Ersoy, S; Gupte, PR; de Monte, L; ten Horn, J; Bom, RA; Toledo, S; Nathan, R; Beardsworth, CE",WATLAS: high-throughput and real-time tracking of many small birds in the Dutch Wadden Sea,ANIMAL BIOTELEMETRY,2022,10,1,10.1186/s40317-022-00307-w,J,bijleveld2022
,,,,,"Henrich, M; Hartig, F; Dormann, CF; Kuehl, HS; Peters, W; Franke, F; Peterka, T; Sustr, P; Heurich, M","Deer Behavior Affects Density Estimates With Camera Traps, but Is Outweighed by Spatial Variability",FRONTIERS IN ECOLOGY AND EVOLUTION,2022,10,NA,10.3389/fevo.2022.881502,J,henrich2022
,,,,,"Murillo, AC; Abdoli, A; Blatchford, RA; Keogh, EJ; Gerry, AC",Parasitic mites alter chicken behaviour and negatively impact animal welfare,SCIENTIFIC REPORTS,2020,10,1,10.1038/s41598-020-65021-0,J,murillo2020
,,,,,"Spitz, DB; Hebblewhite, M; Stephenson, TR",'MigrateR': extending model-driven methods for classifying and quantifying animal movement behavior,ECOGRAPHY,2017,40,6,10.1111/ecog.02587,J,spitz2017
,,,,,"WOLCOTT, TG; HINES, AH",ULTRASONIC BIOTELEMETRY OF MUSCLE-ACTIVITY FROM FREE-RANGING MARINE ANIMALS - A NEW METHOD FOR STUDYING FORAGING BY BLUE CRABS (CALLINECTES-SAPIDUS),BIOLOGICAL BULLETIN,1989,176,1,10.2307/1541888,J,wolcott1989
,,,,,"Blanc, F; Brelurut, A",Short-term behavioral effects of equipping red deer hinds with a tracking collar,ZEITSCHRIFT FUR SAUGETIERKUNDE-INTERNATIONAL JOURNAL OF MAMMALIAN BIOLOGY,1997,62,NA,NA,J,blanc1997
,,,,,"Jensen, JLA; Rikardsen, AH",Archival tags reveal that Arctic charr Salvelinus alpinus and brown trout Salmo trutta can use estuarine and marine waters during winter,JOURNAL OF FISH BIOLOGY,2012,81,2,10.1111/j.1095-8649.2012.03343.x,J,jensen2012a
,,,,,"Avgar, T; Mosser, A; Brown, GS; Fryxell, JM",Environmental and individual drivers of animal movement patterns across a wide geographical gradient,JOURNAL OF ANIMAL ECOLOGY,2013,82,1,10.1111/j.1365-2656.2012.02035.x,J,avgar2013
,,,,,"Chasar, A; Harrigan, RJ; Holbrook, KM; Dietsch, TV; Fuller, TL; Wikelski, M; Smith, TB",Spatial and Temporal Patterns of Frugivorous Hornbill Movements in Central Africa and their Implications for Rain Forest Conservation,BIOTROPICA,2014,46,6,10.1111/btp.12160,J,chasar2014
,,,,,"Strandberg, R; Klaassen, RHG; Olofsson, P; Alerstam, T",Daily travel schedules of adult Eurasian Hobbies Falco subbuteo - variability in flight hours and migration speed along the route,ARDEA,2009,97,3,10.5253/078.097.0304,J,strandberg2009b
,,,,,"Villers, A; Millon, A; Jiguet, F; Lett, JM; Attie, C; Morales, MB; Bretagnolle, V",Migration of wild and captive-bred Little Bustards Tetrax tetrax: releasing birds from Spain threatens attempts to conserve declining French populations,IBIS,2010,152,2,NA,J,villers2010
,,,,,"Sulikowski, JA; Hammerschlag, N",A novel intrauterine satellite transmitter to identify parturition in large sharks,SCIENCE ADVANCES,2023,9,9,10.1126/sciadv.add6340,J,sulikowski2023
,,,,,"Conring, CM; Brautigam, K; Grisham, BA; Collins, DP; Conway, WC",Identifying the migratory strategy of the Lower Colorado River Valley population of Greater Sandhill Cranes,AVIAN CONSERVATION AND ECOLOGY,2019,14,1,10.5751/ACE-01352-140111,J,conring2019
,,,,,"Casale, P; Ceriani, SA",Satellite surveys: a novel approach for assessing sea turtle nesting activity and distribution,MARINE BIOLOGY,2019,166,4,10.1007/s00227-019-3494-4,J,casale2019
,,,,,"Urbano, F; Cagnacci, F",Data Management and Sharing for Collaborative Science: Lessons Learnt From the Euromammals Initiative,FRONTIERS IN ECOLOGY AND EVOLUTION,2021,9,NA,10.3389/fevo.2021.727023,J,urbano2021
,,,,,"Northrup, JM; Hooten, MB; Anderson, CR; Wittemyer, G",Practical guidance on characterizing availability in resource selection functions under a use-availability design,ECOLOGY,2013,94,7,10.1890/12-1688.1,J,northrup2013
,,,,,"Hildebrandt, F; Buttner, K; Salau, J; Krieter, J; Czycholl, I",Proximity between horses in large groups in an open stable system - Analysis of spatial and temporal proximity definitions,APPLIED ANIMAL BEHAVIOUR SCIENCE,2021,242,NA,10.1016/j.applanim.2021.105418,J,hildebrandt2021
,,,,,"Barwick, J; Lamb, D; Dobos, R; Schneider, D; Welch, M; Trotter, M",Predicting Lameness in Sheep Activity Using Tri-Axial Acceleration Signals,ANIMALS,2018,8,1,10.3390/ani8010012,J,barwick2018
,,,,,"O'Toole, M; Hindell, MA; Charrassin, JB; Guinet, C",Foraging behaviour of southern elephant seals over the Kerguelen Plateau,MARINE ECOLOGY PROGRESS SERIES,2014,502,NA,10.3354/meps10709,J,otoole2014a
,,,,,"Hahn, NR; Wall, J; Denninger-Snyder, K; Goss, M; Sairowua, W; Mbise, N; Estes, AB; Ndambuki, S; Mjingo, EE; Douglas-Hamiliton, I; Wittemyer, G",Risk perception and tolerance shape variation in agricultural use for a transboundary elephant population,JOURNAL OF ANIMAL ECOLOGY,2022,91,1,10.1111/1365-2656.13605,J,hahn2022
,,,,,"Kobler, A; Klefoth, T; Wolter, C; Fredrich, F; Arlinghaus, R",Contrasting pike (Esox lucius L.) movement and habitat choice between summer and winter in a small lake,HYDROBIOLOGIA,2008,601,NA,10.1007/s10750-007-9263-2,J,kobler2008
,,,,,"Lewis, KE; Price, E; Croft, DP; Green, LE; Ozella, L; Cattuto, C; Langford, J",Potential role of biologgers to automate detection of lame ewes and lambs,APPLIED ANIMAL BEHAVIOUR SCIENCE,2023,259,NA,10.1016/j.applanim.2023.105847,J,lewis2023
,,,,,"Li, Y; Wang, HY; Jiang, ZG; Song, YC; Yang, DD; Li, L","Seasonal differences of the Milu's home range at the early rewilding stage in Dongting Lake area, China",GLOBAL ECOLOGY AND CONSERVATION,2022,35,NA,10.1016/j.gecco.2022.e02057,J,li2022a
